,2011_elderly,2012_elderly,2013_elderly,2014_elderly,2015_elderly,2016_elderly,2017_elderly,2018_elderly,2019_elderly,2020_elderly,2021_elderly,2022_elderly,2023_elderly
종로구,22939,23868,23997,24537,24892,25091,26182,26742,27519,28507,27818,27958,28764
중구,18099,18875,19346,19960,20302,20606,21384,22005,23275,24495,24392,25055,25920
용산구,31837,33027,34017,34896,35715,35915,36882,37640,38791,40247,39070,39037,39747
성동구,32767,34180,35421,36684,38164,39262,41273,42767,43947,45603,46380,47720,49462
광진구,33613,35759,37623,38974,40368,41441,43953,45619,47902,50560,51723,54071,56819
동대문구,44368,46795,49097,50915,52490,53460,55718,57165,59350,61796,62211,64468,67030
중랑구,43745,46476,48998,51995,54095,55914,59262,61830,65164,69447,71682,74920,78955
성북구,55213,58142,60499,62066,63281,64015,66251,67782,70850,73770,74709,77475,80414
강북구,43507,46222,48547,50841,52598,54053,56530,58196,60577,63422,64333,66307,68617
도봉구,39810,42267,44469,46471,48590,50510,53488,55964,58714,62059,64160,66998,70436
노원구,58642,61218,63810,66480,68909,70887,74243,77096,80923,85489,88345,92040,96422
은평구,56595,60776,64328,67002,69753,71457,74559,77420,80738,85187,87241,89650,93817
서대문구,40041,42088,43850,45309,46758,47653,49266,50456,52074,54204,54268,55996,58113
마포구,42610,44283,45758,47360,48598,48303,49615,50833,52429,54331,54582,55914,57895
양천구,41110,43514,46026,48175,50398,52063,55234,58045,61264,65670,68627,72393,76317
강서구,52314,55821,59530,64287,67950,71062,76032,79660,84077,88984,92558,97128,102096
구로구,41992,45252,48027,51187,53719,55705,58794,61801,65779,70198,72611,75890,79984
금천구,25089,26848,28310,29553,31070,32279,34170,35739,37660,39842,41041,42928,45342
영등포구,43891,46237,48065,49829,51481,51844,53981,55673,57872,61688,62516,64810,67509
동작구,44287,47185,50062,52327,53610,55231,57255,59479,62226,65190,66613,68231,70474
관악구,53022,56620,59705,62577,64985,66952,70046,72249,75194,78875,79871,82447,85418
서초구,39035,41763,44674,47469,49280,50984,53205,54751,57136,60169,60678,62347,65661
강남구,47187,50348,53461,57444,60330,61931,65060,67085,71025,75096,78226,81715,86606
송파구,55456,58490,61745,65025,68292,71064,76582,81364,87334,93483,97691,103573,108894
강동구,42256,44941,47812,50253,51935,53195,56161,58770,63452,70019,74070,78340,82984
