,crime,date
0,22,Jan-72
1,24,Feb-72
2,21,Mar-72
3,23,Apr-72
4,32,May-72
5,24,Jun-72
6,32,Jul-72
7,31,Aug-72
8,17,Sep-72
9,20,Oct-72
10,13,Nov-72
11,24,Dec-72
12,21,Jan-73
13,26,Feb-73
14,18,Mar-73
15,25,Apr-73
16,25,May-73
17,30,Jun-73
18,35,Jul-73
19,25,Aug-73
20,29,Sep-73
21,27,Oct-73
22,34,Nov-73
23,38,Dec-73
24,28,Jan-74
25,30,Feb-74
26,28,Mar-74
27,29,Apr-74
28,40,May-74
29,30,Jun-74
30,24,Jul-74
31,40,Aug-74
32,43,Sep-74
33,60,Oct-74
34,42,Nov-74
35,34,Dec-74
36,28,Jan-75
37,35,Feb-75
38,52,Mar-75
39,54,Apr-75
40,38,May-75
41,53,Jun-75
42,63,Jul-75
43,37,Aug-75
44,66,Sep-75
45,51,Oct-75
46,57,Nov-75
47,65,Dec-75
48,63,Jan-76
49,63,Feb-76
50,77,Mar-76
51,58,Apr-76
52,67,May-76
53,56,Jun-76
54,44,Jul-76
55,36,Aug-76
56,47,Sep-76
57,58,Oct-76
58,46,Nov-76
59,41,Dec-76
60,39,Jan-77
61,52,Feb-77
62,31,Mar-77
63,35,Apr-77
64,41,May-77
65,47,Jun-77
66,25,Jul-77
67,37,Aug-77
68,40,Sep-77
69,36,Oct-77
70,26,Nov-77
71,34,Dec-77
72,31,Jan-78
73,25,Feb-78
74,35,Mar-78
75,34,Apr-78
76,29,May-78
77,36,Jun-78
78,41,Jul-78
79,48,Aug-78
80,34,Sep-78
81,46,Oct-78
82,36,Nov-78
83,38,Dec-78
84,28,Jan-79
85,34,Feb-79
86,40,Mar-79
87,27,Apr-79
88,29,May-79
89,27,Jun-79
90,35,Jul-79
91,20,Aug-79
92,46,Sep-79
93,32,Oct-79
94,34,Nov-79
95,38,Dec-79
96,27,Jan-80
97,27,Feb-80
98,30,Mar-80
99,36,Apr-80
100,27,May-80
101,29,Jun-80
102,33,Jul-80
103,34,Aug-80
104,26,Sep-80
105,32,Oct-80
106,33,Nov-80
107,51,Dec-80
108,25,Jan-81
109,30,Feb-81
110,25,Mar-81
111,27,Apr-81
112,23,May-81
113,20,Jun-81
114,32,Jul-81
115,27,Aug-81
116,33,Sep-81
117,19,Oct-81
118,24,Nov-81
119,30,Dec-81
120,19,Jan-82
121,23,Feb-82
122,28,Mar-82
123,41,Apr-82
124,28,May-82
125,35,Jun-82
126,29,Jul-82
127,35,Aug-82
128,27,Sep-82
129,27,Oct-82
130,25,Nov-82
131,35,Dec-82
132,40,Jan-83
133,36,Feb-83
134,34,Mar-83
135,40,Apr-83
136,25,May-83
137,38,Jun-83
138,45,Jul-83
139,40,Aug-83
140,40,Sep-83
141,21,Oct-83
142,27,Nov-83
143,60,Dec-83
144,53,Jan-84
145,35,Feb-84
146,67,Mar-84
147,77,Apr-84
148,69,May-84
149,62,Jun-84
150,47,Jul-84
151,58,Aug-84
152,64,Sep-84
153,50,Oct-84
154,50,Nov-84
155,65,Dec-84
156,60,Jan-85
157,58,Feb-85
158,50,Mar-85
159,45,Apr-85
160,62,May-85
161,49,Jun-85
162,40,Jul-85
163,47,Aug-85
164,55,Sep-85
165,38,Oct-85
166,41,Nov-85
167,36,Dec-85
168,32,Jan-86
169,36,Feb-86
170,33,Mar-86
171,53,Apr-86
172,66,May-86
173,37,Jun-86
174,24,Jul-86
175,37,Aug-86
176,57,Sep-86
177,61,Oct-86
178,59,Nov-86
179,62,Dec-86
180,35,Jan-87
181,37,Feb-87
182,35,Mar-87
183,32,Apr-87
184,30,May-87
185,51,Jun-87
186,45,Jul-87
187,37,Aug-87
188,44,Sep-87
189,53,Oct-87
190,58,Nov-87
191,63,Dec-87
192,34,Jan-88
193,33,Feb-88
194,34,Mar-88
195,54,Apr-88
196,28,May-88
197,49,Jun-88
198,33,Jul-88
199,54,Aug-88
200,32,Sep-88
201,41,Oct-88
202,33,Nov-88
203,67,Dec-88
204,31,Jan-89
205,26,Feb-89
206,25,Mar-89
207,24,Apr-89
208,33,May-89
209,24,Jun-89
210,34,Jul-89
211,30,Aug-89
212,25,Sep-89
213,37,Oct-89
214,37,Nov-89
215,43,Dec-89
216,27,Jan-90
217,29,Feb-90
218,34,Mar-90
219,22,Apr-90
220,31,May-90
221,25,Jun-90
222,26,Jul-90
223,24,Aug-90
224,36,Sep-90
225,40,Oct-90
226,63,Nov-90
227,67,Dec-90
228,39,Jan-91
229,27,Feb-91
230,40,Mar-91
231,46,Apr-91
232,55,May-91
233,46,Jun-91
234,31,Jul-91
235,58,Aug-91
236,54,Sep-91
237,72,Oct-91
238,225,Nov-91
239,74,Dec-91
240,40,Jan-92
241,190,Feb-92
242,179,Mar-92
243,285,Apr-92
244,250,May-92
245,266,Jun-92
246,173,Jul-92
247,212,Aug-92
248,136,Sep-92
249,215,Oct-92
250,618,Nov-92
251,89,Dec-92
252,68,Jan-93
253,90,Feb-93
254,99,Mar-93
255,236,Apr-93
256,181,May-93
257,120,Jun-93
258,149,Jul-93
259,161,Aug-93
260,126,Sep-93
261,99,Oct-93
262,183,Nov-93
263,168,Dec-93
264,52,Jan-94
265,94,Feb-94
266,81,Mar-94
267,61,Apr-94
268,65,May-94
269,107,Jun-94
270,61,Jul-94
271,120,Aug-94
272,77,Sep-94
273,91,Oct-94
274,600,Nov-94
275,172,Dec-94
276,58,Jan-95
277,42,Feb-95
278,43,Mar-95
279,33,Apr-95
280,56,May-95
281,43,Jun-95
282,41,Jul-95
283,47,Aug-95
284,47,Sep-95
285,46,Oct-95
286,244,Nov-95
287,38,Dec-95
288,110,Jan-96
289,123,Feb-96
290,128,Mar-96
291,129,Apr-96
292,127,May-96
293,129,Jun-96
294,132,Jul-96
295,131,Aug-96
296,140,Sep-96
297,119,Oct-96
298,122,Nov-96
299,118,Dec-96
300,47,Jan-97
301,23,Feb-97
302,106,Mar-97
303,96,Apr-97
304,94,May-97
305,88,Jun-97
306,103,Jul-97
307,105,Aug-97
308,112,Sep-97
309,314,Oct-97
310,105,Nov-97
311,88,Dec-97
312,130,Jan-98
313,85,Feb-98
314,102,Mar-98
315,93,Apr-98
316,145,May-98
317,136,Jun-98
318,83,Jul-98
319,80,Aug-98
320,95,Sep-98
321,88,Oct-98
322,79,Nov-98
323,89,Dec-98
324,85,Jan-99
325,93,Feb-99
326,76,Mar-99
327,85,Apr-99
328,113,May-99
329,102,Jun-99
330,83,Jul-99
331,92,Aug-99
332,110,Sep-99
333,100,Oct-99
334,80,Nov-99
335,93,Dec-99
336,68,Jan-00
337,108,Feb-00
338,142,Mar-00
339,98,Apr-00
340,129,May-00
341,92,Jun-00
342,116,Jul-00
343,116,Aug-00
344,104,Sep-00
345,110,Oct-00
346,111,Nov-00
347,127,Dec-00
348,100,Jan-01
349,152,Feb-01
350,168,Mar-01
351,193,Apr-01
352,132,May-01
353,167,Jun-01
354,125,Jul-01
355,113,Aug-01
356,176,Sep-01
357,126,Oct-01
358,130,Nov-01
359,131,Dec-01
360,126,Jan-02
361,95,Feb-02
362,164,Mar-02
363,164,Apr-02
364,187,May-02
365,160,Jun-02
366,202,Jul-02
367,192,Aug-02
368,163,Sep-02
369,171,Oct-02
370,140,Nov-02
371,147,Dec-02
372,150,Jan-03
373,151,Feb-03
374,213,Mar-03
375,194,Apr-03
376,187,May-03
377,231,Jun-03
378,216,Jul-03
379,232,Aug-03
380,273,Sep-03
381,218,Oct-03
382,224,Nov-03
383,209,Dec-03
384,226,Jan-04
385,195,Feb-04
386,285,Mar-04
387,273,Apr-04
388,275,May-04
389,272,Jun-04
390,269,Jul-04
391,250,Aug-04
392,296,Sep-04
393,293,Oct-04
394,279,Nov-04
395,259,Dec-04
396,217,Jan-05
397,167,Feb-05
398,375,Mar-05
399,360,Apr-05
400,342,May-05
401,262,Jun-05
402,217,Jul-05
403,268,Aug-05
404,295,Sep-05
405,286,Oct-05
406,357,Nov-05
407,180,Dec-05
408,218,Jan-06
409,232,Feb-06
410,245,Mar-06
411,311,Apr-06
412,701,May-06
413,1109,Jun-06
414,1103,Jul-06
415,878,Aug-06
416,324,Sep-06
417,266,Oct-06
418,272,Nov-06
419,231,Dec-06
420,252,Jan-07
421,261,Feb-07
422,361,Mar-07
423,406,Apr-07
424,486,May-07
425,436,Jun-07
426,387,Jul-07
427,418,Aug-07
428,417,Sep-07
429,563,Oct-07
430,492,Nov-07
431,406,Dec-07
432,411,Jan-08
433,309,Feb-08
434,332,Mar-08
435,497,Apr-08
436,557,May-08
437,733,Jun-08
438,671,Jul-08
439,523,Aug-08
440,525,Sep-08
441,541,Oct-08
442,533,Nov-08
443,651,Dec-08
444,433,Jan-09
445,407,Feb-09
446,496,Mar-09
447,555,Apr-09
448,750,May-09
449,795,Jun-09
450,844,Jul-09
451,663,Aug-09
452,731,Sep-09
453,709,Oct-09
454,684,Nov-09
455,672,Dec-09
456,589,Jan-10
457,382,Feb-10
458,562,Mar-10
459,486,Apr-10
460,688,May-10
461,658,Jun-10
462,595,Jul-10
463,598,Aug-10
464,569,Sep-10
465,615,Oct-10
466,598,Nov-10
467,646,Dec-10
468,582,Jan-11
469,516,Feb-11
470,939,Mar-11
471,994,Apr-11
472,1080,May-11
473,1185,Jun-11
474,868,Jul-11
475,860,Aug-11
476,746,Sep-11
477,774,Oct-11
478,565,Nov-11
479,579,Dec-11
480,661,Jan-12
481,590,Feb-12
482,606,Mar-12
483,631,Apr-12
484,699,May-12
485,684,Jun-12
486,707,Jul-12
487,662,Aug-12
488,683,Sep-12
489,739,Oct-12
490,687,Nov-12
491,533,Dec-12
492,609,Jan-13
493,442,Feb-13
494,547,Mar-13
495,674,Apr-13
496,719,May-13
497,707,Jun-13
498,806,Jul-13
499,702,Aug-13
500,759,Sep-13
501,823,Oct-13
502,711,Nov-13
503,646,Dec-13
504,685,Jan-14
505,507,Feb-14
506,731,Mar-14
507,740,Apr-14
508,762,May-14
509,799,Jun-14
510,877,Jul-14
511,721,Aug-14
512,811,Sep-14
513,899,Oct-14
514,769,Nov-14
515,944,Dec-14
516,857,Jan-15
517,696,Feb-15
518,929,Mar-15
519,945,Apr-15
520,960,May-15
521,1051,Jun-15
522,1002,Jul-15
523,943,Aug-15
524,879,Sep-15
525,1269,Oct-15
526,826,Nov-15
527,899,Dec-15
528,762,Jan-16
529,785,Feb-16
530,949,Mar-16
531,1020,Apr-16
532,1112,May-16
533,1005,Jun-16
534,1061,Jul-16
535,966,Aug-16
536,977,Sep-16
537,1173,Oct-16
538,946,Nov-16
539,851,Dec-16
540,807,Jan-17
541,668,Feb-17
542,926,Mar-17
543,941,Apr-17
544,906,May-17
545,939,Jun-17
546,897,Jul-17
547,935,Aug-17
548,870,Sep-17
549,853,Oct-17
550,869,Nov-17
551,776,Dec-17
552,860,Jan-18
553,684,Feb-18
554,815,Mar-18
555,908,Apr-18
556,899,May-18
557,858,Jun-18
558,968,Jul-18
559,868,Aug-18
560,825,Sep-18
561,1081,Oct-18
562,865,Nov-18
563,831,Dec-18
564,937,Jan-19
565,606,Feb-19
566,905,Mar-19
567,876,Apr-19
568,993,May-19
569,929,Jun-19
570,1084,Jul-19
571,891,Aug-19
572,927,Sep-19
573,1089,Oct-19
574,950,Nov-19
575,838,Dec-19
576,895,Jan-20
577,705,Feb-20
578,749,Mar-20
579,700,Apr-20
580,744,May-20
581,913,Jun-20
582,953,Jul-20
583,845,Aug-20
584,884,Sep-20
585,878,Oct-20
586,761,Nov-20
587,788,Dec-20
588,463,Jan-21
589,436,Feb-21
590,632,Mar-21
591,711,Apr-21
592,661,May-21
593,751,Jun-21
594,701,Jul-21
595,726,Aug-21
596,714,Sep-21
597,782,Oct-21
598,773,Nov-21
599,611,Dec-21
600,686,Jan-22
601,582,Feb-22
602,689,Mar-22
603,785,Apr-22
604,819,May-22
605,873,Jun-22
606,735,Jul-22
607,735,Aug-22
608,692,Sep-22
609,866,Oct-22
610,738,Nov-22
611,655,Dec-22
612,337,Jan-23
613,511,Feb-23
614,634,Mar-23
615,655,Apr-23
616,631,May-23
617,706,Jun-23
618,758,Jul-23
619,680,Aug-23
620,672,Sep-23
621,682,Oct-23
622,644,Nov-23
623,555,Dec-23
